id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated,copyright
github.com/opentracing/opentracing-go@1.2.0,github.com/opentracing/opentracing-go,1.2.0,golang,0,0,0,0,,Apache-2.0,github.com/dislinkt/api_gateway:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,,[]
github.com/opentracing/opentracing-go/log@1.2.0,github.com/opentracing/opentracing-go/log,1.2.0,golang,0,0,0,0,,,github.com/dislinkt/api_gateway:go.mod,,,,,,[]
github.com/pkg/errors@0.9.1,github.com/pkg/errors,0.9.1,golang,0,0,0,0,,BSD-2-Clause,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,,[]
github.com/pquerna/otp@1.3.0,github.com/pquerna/otp,1.3.0,golang,0,0,0,0,,Apache-2.0,github.com/dislinkt/auth_service:go.mod,https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,,[]
github.com/pquerna/otp/hotp@1.3.0,github.com/pquerna/otp/hotp,1.3.0,golang,0,0,0,0,,,github.com/dislinkt/auth_service:go.mod,,,,,,[]
github.com/pquerna/otp/totp@1.3.0,github.com/pquerna/otp/totp,1.3.0,golang,0,0,0,0,,,github.com/dislinkt/auth_service:go.mod,,,,,,[]
github.com/xdg-go/pbkdf2@1.0.0,github.com/xdg-go/pbkdf2,1.0.0,golang,0,0,0,0,,Unknown,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Unknown,,,,,[]
github.com/xdg-go/scram@1.0.2,github.com/xdg-go/scram,1.0.2,golang,0,0,0,0,,Unknown,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Unknown,,,,,[]
github.com/xdg-go/stringprep@1.0.2,github.com/xdg-go/stringprep,1.0.2,golang,0,0,0,0,,Unknown,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Unknown,,,,,[]
github.com/youmark/pkcs8@#1be2e3e5546d,github.com/youmark/pkcs8,#1be2e3e5546d,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
golang.org/x/crypto/bcrypt@#5e0467b6c7ce,golang.org/x/crypto/bcrypt,#5e0467b6c7ce,golang,0,0,0,0,,,github.com/dislinkt/auth_service:go.mod,,,,,,[]
golang.org/x/crypto/blowfish@#5e0467b6c7ce,golang.org/x/crypto/blowfish,#5e0467b6c7ce,golang,0,0,0,0,,,github.com/dislinkt/auth_service:go.mod,,,,,,[]
golang.org/x/crypto/ed25519@#3147a52a75dd,golang.org/x/crypto/ed25519,#3147a52a75dd,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
golang.org/x/crypto/ed25519@#5e0467b6c7ce,golang.org/x/crypto/ed25519,#5e0467b6c7ce,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
golang.org/x/crypto/ocsp@#5e0467b6c7ce,golang.org/x/crypto/ocsp,#5e0467b6c7ce,golang,0,0,0,0,,,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
golang.org/x/crypto/pbkdf2@#5e0467b6c7ce,golang.org/x/crypto/pbkdf2,#5e0467b6c7ce,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",,,,,,[]
